player_name,player_short_name,player_id,player_birthdate,team_name,team_id,competition_name,season_name,position_group,minutes_full_all,count_match,distance_per_match,total_metersperminute_full_all,running_per_match,hsr_per_match,sprint_per_match,hi_per_match,hsr_count_per_match,sprint_count_per_match,hi_count_per_match,high_accel_per_match,high_decel_per_match,accel_decel_load_per_match,high_intensity_share,sprint_share,top_speed,load_index,load_level,load_comment
Nathan Walker,N. Walker,799453,2006-01-30,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Wide Attacker,94.63,1,11321.0,119.63,1690.0,911.0,382.0,1293.0,90.0,17.0,107.0,13.0,39.0,338.0,0.11421252539528311,0.03374260224361805,31.1,88.62976105877782,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Jesse Randall,J. Randall,624628,2002-08-19,Auckland FC,4177,AUS - A-League,2024/2025,Wide Attacker,66.6,1,8328.0,125.05,1310.0,805.0,360.0,1165.0,82.0,19.0,101.0,12.0,33.0,213.0,0.1398895292987512,0.043227665706051875,30.8,79.44544891919092,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Jaiden Kucharski,J. Kucharski,133853,2002-06-25,Sydney Football Club,869,AUS - A-League,2024/2025,Center Forward,102.77,1,11763.0,114.46,1596.0,821.0,314.0,1135.0,78.0,20.0,98.0,10.0,25.0,272.0,0.09648899090368103,0.02669387061123863,31.4,75.8644057779407,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Luke Vickery,L. Vickery,811052,2005-10-25,Western United,1803,AUS - A-League,2024/2025,Wide Attacker,79.25,1,9459.0,119.36,1513.0,813.0,397.0,1210.0,80.0,22.0,102.0,7.0,23.0,206.0,0.12792049899566552,0.041970610001057194,31.2,74.09787794651227,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Kosta Barbarouses,K. Barbarouses,23909,1990-02-19,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Wide Attacker,100.85,1,10605.0,105.16,1380.0,648.0,394.0,1042.0,79.0,21.0,100.0,13.0,25.0,252.0,0.09825553983969826,0.03715228665723715,30.3,72.91613687852218,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Jordan Courtney-Perkins,J. Courtney-Perkins,51000,2002-11-06,Sydney Football Club,869,AUS - A-League,2024/2025,Wide Attacker,89.35,1,11091.0,124.13,2159.0,916.0,225.0,1141.0,77.0,11.0,88.0,8.0,26.0,254.0,0.10287620593273826,0.020286718961319988,27.9,72.01168007567975,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Jed Drew,J. Drew,560891,2003-08-29,Macarthur FC,1804,AUS - A-League,2024/2025,Midfield,78.72,1,9523.0,120.98,1369.0,697.0,413.0,1110.0,78.0,18.0,96.0,7.0,16.0,223.0,0.11655990759214534,0.043368686338338756,30.5,70.82066723077595,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Corban Piper,C. Piper,957734,2002-09-10,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Midfield,98.82,1,10780.0,109.09,1540.0,786.0,418.0,1204.0,77.0,21.0,98.0,6.0,19.0,221.0,0.11168831168831168,0.03877551020408163,30.5,70.0927325696185,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Tate Russell,T. Russell,795520,1999-08-24,Western United,1803,AUS - A-League,2024/2025,Central Defender,87.0,1,10382.0,119.33,1529.0,716.0,343.0,1059.0,69.0,16.0,85.0,10.0,17.0,225.0,0.10200346753997303,0.03303795029859372,29.3,69.88514486876905,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Adrian Segecic,A. Segecic,133854,2004-06-01,Sydney Football Club,869,AUS - A-League,2024/2025,Center Forward,92.63,1,11007.0,118.82,1705.0,664.0,400.0,1064.0,66.0,21.0,87.0,7.0,17.0,222.0,0.09666575815390206,0.03634051058417371,29.8,69.76843029163798,high,Высокая физическая нагрузка. Стоит аккуратно планировать минуты.
Cameron Drew Howieson,C. Howieson,133495,1994-12-22,Auckland FC,4177,AUS - A-League,2024/2025,Center Forward,98.83,1,12148.0,122.91,2364.0,870.0,135.0,1005.0,71.0,9.0,80.0,10.0,11.0,282.0,0.08272966743496872,0.011112940401712216,26.1,65.0503033331207,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
Matthew Sheridan,M. Sheridan,799092,2004-05-09,Wellington Phoenix FC,867,AUS - A-League,2024/2025,Wide Attacker,62.45,1,7759.0,124.24,1286.0,735.0,200.0,935.0,63.0,11.0,74.0,12.0,22.0,202.0,0.12050521974481247,0.025776517592473257,28.8,64.77838648628814,medium,Средняя нагрузка. Игрок активно вовлечён в интенсивные действия.
